Brand,Item ,Calories, Total Fat (g),Trans Fat (g) ,Saturated Fat (g), Sodium (mg), Total Carbohydrates (g) ,Cholesterol (mg), Dietary Fibre (g), Sugars (g), Protein (g) ,Vitamin A (% DV) ,Vitamin C (% DV), Calcium (% DV) ,Iron (% DV) 
1,85,510,15,9,0,35,330,77,0,74,19,20,4,60,2
1,86,460,13,6,0,5,290,70,1,64,16,15,2,60,20
1,87,130,2,1,0,5,70,26,1,23,7,10,0,20,10
1,88,150,5,3,0,15,80,26,1,22,7,10,0,20,10
1,89,130,4,1,0,0,60,23,2,18,6,6,0,20,20
1,90,190,2,1,0,5,110,37,1,32,11,15,0,30,20
1,91,230,7,4,0,20,120,37,1,32,10,15,0,30,20
1,92,200,6,2,0,0,95,32,2,25,9,10,0,30,30
1,93,240,3,2,0,5,140,48,2,41,14,20,0,40,25
1,94,290,9,5,0,25,160,47,2,41,14,20,2,40,25
1,95,250,7,2,0,0,125,41,3,32,12,15,0,40,40
1,96,320,3,2,0,10,180,63,2,55,18,25,0,50,30
1,97,380,11,6,0,35,200,63,2,54,17,25,2,50,30
1,98,330,9,3,0,0,160,55,4,44,15,15,0,50,50
1,99,140,0,0,0,0,10,35,0,33,0,0,0,0,0
1,100,210,0,0,0,0,15,53,0,49,0,0,0,0,0
1,101,280,0,0,0,0,20,70,0,65,0,0,0,0,0
1,102,360,0,0,0,0,25,89,0,83,0,0,0,0,0
1,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107,100,0,0,0,0,50,22,0,21,4,6,0,10,0
1,108,120,2,1,0,10,55,22,0,21,4,6,0,10,0
1,109,110,2,0,0,0,45,20,0,18,3,4,0,10,6
1,110,160,0,0,0,5,80,34,0,32,6,10,0,20,2
1,111,190,4,2,0,15,90,34,0,32,6,10,0,20,2
1,112,160,3,0,0,0,70,31,1,28,5,6,0,20,10
1,113,210,0,0,0,5,105,45,0,43,8,15,0,25,2
1,114,240,5,2,0,20,115,45,0,42,8,10,0,25,2
1,115,220,4,0,0,0,90,41,1,37,6,8,0,25,10
1,116,260,0,0,0,5,135,57,0,54,10,15,0,35,2
1,117,310,6,3,0,25,150,56,0,53,10,15,2,30,2
1,118,280,5,1,0,0,115,51,1,46,8,10,0,30,15
1,119,130,0,0,0,5,85,26,0,25,7,10,4,20,2
1,120,170,4,2,0,15,95,26,0,25,7,10,6,20,2
1,121,140,3,0,0,0,70,22,1,20,6,8,4,20,10
1,122,210,0,0,0,5,125,42,1,41,11,20,10,35,4
1,123,260,6,3,0,25,140,41,1,40,10,15,10,35,4
1,124,230,5,1,0,0,110,36,2,33,9,10,10,35,15
1,125,290,1,0,0,10,160,57,1,56,14,25,15,45,4
1,126,350,8,4,0,30,180,57,1,55,14,20,15,45,4
1,127,310,6,1,0,0,140,50,3,46,11,15,15,45,25
1,128,370,1,0,0,10,200,73,2,71,18,30,20,60,6
1,129,450,10,5,0,40,230,72,2,71,17,25,20,50,6
1,130,390,8,1,0,0,180,64,4,58,14,20,20,60,30
1,131,80,0,0,0,0,45,16,0,16,4,6,0,10,0
1,132,90,2,1,0,10,50,15,0,15,3,6,0,10,0
1,133,80,2,0,0,0,40,14,0,13,3,4,0,10,6
1,134,120,0,0,0,5,65,23,0,23,5,10,0,20,0
1,135,140,3,2,0,15,75,23,0,23,5,8,0,15,0
1,136,130,3,0,0,0,60,21,1,19,4,6,0,20,8
1,137,150,0,0,0,5,85,31,0,31,7,15,0,25,0
1,138,190,4,2,0,15,95,31,0,30,7,10,0,25,0
1,139,170,4,0,0,0,80,27,1,25,6,8,0,25,10
1,140,190,0,0,0,5,110,39,0,39,9,15,0,30,0
1,141,230,5,3,0,20,125,38,0,38,9,15,0,30,0
1,142,210,4,1,0,0,100,34,1,32,7,10,0,30,15
1,143,80,0,0,0,0,45,16,0,16,4,6,0,10,0
1,144,90,2,1,0,10,50,15,0,15,3,6,0,10,0
1,145,80,2,0,0,0,40,14,0,13,3,4,0,10,6
1,146,120,0,0,0,5,65,23,0,23,5,10,0,20,0
1,147,140,3,2,0,15,75,23,0,23,5,8,0,15,0
1,148,130,3,0,0,0,60,21,1,19,4,6,0,20,8
1,149,150,0,0,0,5,85,31,0,31,7,15,0,25,0
1,150,190,4,2,0,15,95,31,0,30,7,10,0,25,0
1,151,170,4,0,0,0,80,27,1,25,6,8,0,25,10
1,152,190,0,0,0,5,110,39,0,39,9,15,0,30,0
1,153,230,5,3,0,20,125,38,0,38,9,15,0,30,0
1,154,210,4,1,0,0,100,34,1,32,7,10,0,30,15
1,155,60,0,0,0,0,4,15,0,15,0,0,0,0,0
1,156,90,0,0,0,0,5,21,0,21,0,0,0,0,0
1,157,130,0,0,0,0,5,31,0,31,0,0,0,0,0
1,158,80,0,0,0,0,25,18,0,18,2,2,0,6,0
1,159,90,1,1,0,5,25,18,0,18,2,2,0,6,0
1,160,80,1,0,0,0,20,17,0,17,2,2,0,6,0
1,161,110,0,0,0,0,30,24,0,24,2,4,0,8,2
1,162,120,2,1,0,5,35,24,0,24,2,4,0,8,0
1,163,110,1,0,0,0,30,23,0,22,2,2,0,8,0
1,164,160,0,0,0,0,50,36,0,36,4,6,0,10,4
1,165,180,2,1,0,10,55,36,0,36,4,6,0,10,0
1,166,170,2,0,0,0,45,34,0,33,3,4,0,10,0
1,167,60,0,0,0,0,0,15,0,15,0,0,0,0,6
1,168,80,0,0,0,0,0,21,0,21,0,0,0,0,0
1,169,120,0,0,0,0,0,31,0,31,0,0,0,0,0
1,170,100,0,0,0,0,0,25,0,24,0,0,10,0,0
1,171,130,0,0,0,0,0,33,0,33,0,0,15,0,0
1,172,190,0,0,0,0,0,49,0,49,0,0,20,0,0
1,173,280,3,2,0,5,150,53,7,34,20,10,15,20,0
1,174,300,5,3,0,15,160,53,7,34,20,8,15,20,20
1,175,290,5,2,0,5,150,51,7,31,19,6,15,20,20
1,176,260,1,0,0,5,120,54,6,37,16,50,80,10,30
1,177,270,2,1,0,5,125,53,6,37,16,50,80,10,6
1,178,270,2,0,0,5,120,53,6,36,15,50,80,10,6
1,179,290,1,0,0,5,125,58,7,41,16,4,100,10,8
1,180,290,2,1,0,5,125,58,7,41,16,4,100,10,8
